Race,Player 1,Player 2,Player 3,Player 4
Australian GP | Formula 1 Qatar Airways Australian Grand Prix,5,19,0,0
Chinese GP | Formula 1 Heineken Chinese Grand Prix,4,4,0,0
Japanese GP | Formula 1 Aramco Japanese Grand Prix,12,10,0,0
Miami GP | Formula 1 Crypto.com Miami Grand Prix,15,9,0,0
Canadian GP | Formula 1 Lenovo Grand Prix du Canada,4,6,0,0
Monaco GP | Formula 1 Louis Vuitton Grand Prix de Monaco,15,3,4,0
Barcelona GP | Formula 1 MSC Cruises Gran Premio de Barcelona-Catalunya,13,14,13,0
Austrian GP | Formula 1 Lenovo Austrian Grand Prix,4,4,11,0
British GP | Formula 1 Pirelli British Grand Prix,11,1,5,0
Belgian GP | Formula 1 Rolex Belgian Grand Prix,9,13,22,0
Hungarian GP | Formula 1 AWS Hungarian Grand Prix,14,16,7,0
Dutch GP | Formula 1 Heineken Dutch Grand Prix,9,7,8,0
Bahrain GP | Formula 1 Gulf Air Bahrain Grand Prix,0,0,0,0
Saudi Arabian GP | Formula 1 STC Saudi Arabian Grand Prix,0,0,0,0
Italian GP | Formula 1 Pirelli Gran Premio d’Italia,0,0,0,0
Spanish GP | Formula 1 TAG Heuer Spanish Grand Prix (Madrid),0,0,0,0
Azerbaijan GP | Formula 1 Qatar Airways Azerbaijan Grand Prix,0,0,0,0
Singapore GP | Formula 1 Singapore Airlines Singapore Grand Prix,0,0,0,0
United States GP | Formula 1 MSC Cruises United States Grand Prix,0,0,0,0
Mexico City GP | Formula 1 Gran Premio de la Ciudad de México,0,0,0,0
São Paulo GP | Formula 1 MSC Cruises Grande Prêmio de São Paulo,0,0,0,0
Las Vegas GP | Formula 1 Heineken Las Vegas Grand Prix,0,0,0,0
Qatar GP | Formula 1 Qatar Airways Qatar Grand Prix,0,0,0,0
Abu Dhabi GP | Formula 1 Etihad Airways Abu Dhabi Grand Prix,0,0,0,0
